Associated User,Machine Name,Delivery Group,Session Start Time,Session End Time,Session Duration (hr:min)
jtolins0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 12:34:41 PM,12/7/2017 1:56:24 PM,1:21
acondon2,ADCF\FACAD3PDECX05P,Analysts,12/13/2017 4:02:58 PM,12/13/2017 10:37:30 PM,6:34
atrexler0,ADCF\FACAD3PDECX07P,SAS,12/8/2017 6:17:06 AM,12/8/2017 8:31:39 AM,2:14
plockwood-bean0,ADCF\FACAD3PDECX07P,SAS,12/12/2017 5:56:08 AM,12/12/2017 11:27:36 AM,5:31
alathrop0,ADCF\FACAD3PDECX08P,SPSS,12/12/2017 11:56:15 AM,12/12/2017 3:03:16 PM,3:7
kroenfeldt0,ADCF\FACAD3PDECX07P,SAS,12/13/2017 2:36:34 PM,12/13/2017 3:38:54 PM,1:2
dbartolanzo0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/8/2017 4:46:13 AM,12/8/2017 5:20:01 AM,0:33
estewart7,ADCF\FACAD3PDECX05P,Analysts,12/12/2017 7:12:57 AM,12/12/2017 3:02:39 PM,7:49
sschwab2,ADCF\FACAD3PDECX05P,Analysts,12/9/2017 5:59:45 AM,12/12/2017 2:34:32 PM,80:34
mseibert0,ADCF\FACAD3PDECX05P,Analysts,12/13/2017 6:40:44 AM,12/13/2017 4:31:30 PM,9:50
aking20,ADCF\FACAD3PDECX06P,UNIV_SAS,12/11/2017 10:11:06 AM,12/11/2017 1:04:39 PM,2:53
khawley2,ADCF\FACAD3PDECX08P,SPSS,12/13/2017 1:44:23 PM,12/13/2017 1:54:17 PM,0:9
jfisher11,ADCF\FACAD3PDECX07P,SAS,12/11/2017 7:41:44 AM,12/11/2017 10:49:37 AM,3:7
aallen13,ADCF\FACAD3PDECX07P,SAS,12/12/2017 8:06:52 AM,12/12/2017 3:03:52 PM,6:56
jfisher11,ADCF\FACAD3PDECX05P,Analysts,12/9/2017 2:31:48 PM,12/10/2017 9:13:30 PM,30:41
michael.j.ready4.ctr,ADCF\FACAD3PDECX09P,SAS RFL,12/6/2017 6:44:20 AM,12/9/2017 5:22:32 AM,70:38
supgde,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 1:33:29 PM,12/11/2017 2:05:21 PM,0:31
dpercich0,ADCF\FACAD3PDECX07P,SAS,12/11/2017 6:45:42 AM,12/11/2017 7:39:15 AM,0:53
jfisher11,ADCF\FACAD3PDECX08P,SPSS,12/14/2017 8:50:03 AM,Running,2:32
mseibert0,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 7:26:29 AM,12/11/2017 10:50:24 AM,3:23
mseibert0,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 11:37:34 AM,12/11/2017 2:53:06 PM,3:15
esadikova0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/12/2017 7:29:54 AM,12/12/2017 10:39:19 AM,3:9
aalbin0,ADCF\FACAD3PDECX08P,SPSS,12/11/2017 9:48:50 AM,12/11/2017 5:56:22 PM,8:7
sschwab2,ADCF\FACAD3PDECX05P,Analysts,12/6/2017 4:31:14 AM,12/7/2017 11:20:25 PM,42:49
mpetukhova0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/12/2017 6:48:07 AM,12/12/2017 7:57:55 AM,1:9
fhuante2,ADCF\FACAD3PDECX08P,SPSS,12/8/2017 11:46:41 AM,12/8/2017 4:45:00 PM,4:58
kszeto0,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 9:06:26 AM,12/8/2017 2:13:29 PM,5:7
